course_id,class_id,level_id,semester,section,
264,5,5,2077,T,
265,5,5,2077,U,
268,1,2,2081,A,
269,1,3,2081,F,
270,1,3,2081,G,
271,1,3,2081,H,
272,1,4,2081,M,
273,1,4,2081,P,
274,1,4,2081,Q,
275,1,4,2081,R,
276,1,5,2081,S,
277,1,5,2081,T,
278,1,5,2081,U,
279,2,2,2081,A,
280,2,3,2081,F,
281,2,3,2081,G,
282,2,3,2081,H,
283,2,4,2081,M,
284,2,4,2081,P,
285,2,4,2081,Q,
286,2,4,2081,R,
287,2,5,2081,S,
288,2,5,2081,T,
289,2,5,2081,U,
290,3,2,2081,A,
291,3,3,2081,F,
292,3,3,2081,G,
293,3,3,2081,H,
294,3,4,2081,M,
295,3,4,2081,P,
296,3,4,2081,Q,
297,3,4,2081,R,
298,3,5,2081,S,
299,3,5,2081,T,
300,3,5,2081,U,
301,4,2,2081,A,
302,4,3,2081,F,
303,4,3,2081,G,
304,4,3,2081,H,
305,4,4,2081,M,
306,4,4,2081,P,
307,4,4,2081,Q,
308,4,4,2081,R,
309,4,5,2081,S,
310,4,5,2081,T,
311,4,5,2081,U,
312,5,2,2081,A,
313,5,3,2081,F,
314,5,3,2081,G,
315,5,3,2081,H,
316,5,4,2081,M,
317,5,4,2081,P,
318,5,4,2081,Q,
319,5,4,2081,R,
320,5,5,2081,S,
321,5,5,2081,T,
322,5,5,2081,U,
323,1,2,2084,A,
324,2,2,2084,A,
325,3,2,2084,A,
326,4,2,2084,A,
327,5,2,2084,A,
328,1,3,2084,F,
329,2,3,2084,F,
330,3,3,2084,F,
331,4,3,2084,F,
332,5,3,2084,F,
333,1,3,2084,G,
334,2,3,2084,G,
335,3,3,2084,G,
336,4,3,2084,G,
337,5,3,2084,G,
338,1,4,2084,M,
339,2,4,2084,M,
340,3,4,2084,M,
341,4,4,2084,M,
342,5,4,2084,M,
343,1,4,2084,P,
344,2,4,2084,P,
345,3,4,2084,P,
346,4,4,2084,P,
347,5,4,2084,P,
348,1,5,2084,S,
349,2,5,2084,S,
350,3,5,2084,S,
351,4,5,2084,S,
352,5,5,2084,S,
353,1,5,2084,T,
354,2,5,2084,T,
355,3,5,2084,T,
356,4,5,2084,T,
357,5,5,2084,T,
358,1,4,2084,R,
359,2,4,2084,R,
360,3,4,2084,R,
361,4,4,2084,R,
362,5,4,2084,R,
363,2,5,2084,U,
364,1,3,2087,F,
365,2,3,2087,F,
366,3,3,2087,F,
367,4,3,2087,F,
368,5,3,2087,F,
369,1,3,2087,G,
370,2,3,2087,G,
371,3,3,2087,G,
372,4,3,2087,G,
373,5,3,2087,G,
374,1,4,2087,M,
375,2,4,2087,M,
376,3,4,2087,M,
377,4,4,2087,M,
378,5,4,2087,M,
379,1,4,2087,P,
380,2,4,2087,P,
381,3,4,2087,P,
382,4,4,2087,P,
383,5,4,2087,P,
384,1,4,2087,Q,
385,2,4,2087,Q,
386,3,4,2087,Q,
387,4,4,2087,Q,
388,5,4,2087,Q,
389,1,5,2087,S,
390,2,5,2087,S,
391,3,5,2087,S,
392,4,5,2087,S,
393,5,5,2087,S,
394,1,5,2087,T,
395,2,5,2087,T,
396,3,5,2087,T,
397,4,5,2087,T,
