user_file_id,anon_id,file_type_id,file_info_id,user_file_parent_id,course_id,session_id,document_id,activity,order_num,due_date,post_date,assignment_name,version,directory,filename,content_text,createdby,createddate,modifiedby,modifieddate,allow_submit_after_duedate,allow_multiple_accesses,allow_double_spacing,duration,pull_off_date,direction,grammar_qp_id,is_deleted
7505,eq0,1,20,7496,149,1781,,7,,,,,1,,,,eq0,2006-09-20 16:11,,,0,0,0,,,,,0
7506,am8,1,20,7496,149,1782,,7,,,,,1,,,,am8,2006-09-20 22:09,,,0,0,0,,,,,0
7507,dk5,1,20,7504,115,1808,,7,,,,,1,,,,dk5,2006-09-21 10:16,,,0,0,0,,,,,0
7508,ad1,1,20,7504,115,1805,,7,,,,,1,,,,ad1,2006-09-21 10:19,,,0,0,0,,,,,0
7509,eg5,1,20,7504,115,1801,,7,,,,,1,,,,eg5,2006-09-21 10:19,,,0,0,0,,,,,0
7510,ad1,1,20,7504,115,1805,,7,,,,,2,,,,ad1,2006-09-21 10:20,,,0,0,0,,,,,0
7511,fv6,1,20,7504,115,1806,,7,,,,,1,,,,fv6,2006-09-21 10:20,,,0,0,0,,,,,0
7512,ei2,1,20,7504,115,1797,,7,,,,,1,,,,ei2,2006-09-21 10:20,,,0,0,0,,,,,0
7513,hb4,1,20,7504,115,1792,,7,,,,,1,,,,hb4,2006-09-21 10:21,,,0,0,0,,,,,0
7514,fy0,1,20,7499,114,1809,,7,,,,,1,,,,fy0,2006-09-21 10:21,,,0,0,0,,,,,0
7515,ah1,1,20,7504,115,1802,,7,,,,,1,,,,ah1,2006-09-21 10:22,,,0,0,0,,,,,0
7516,bo8,1,20,7499,114,1811,,7,,,,,1,,,,bo8,2006-09-21 10:23,,,0,0,0,,,,,0
7517,fq0,1,20,7504,115,1793,,7,,,,,1,,,,fq0,2006-09-21 10:24,,,0,0,0,,,,,0
7518,di7,1,20,7504,115,1800,,7,,,,,1,,,,di7,2006-09-21 10:24,,,0,0,0,,,,,0
7519,gc5,1,20,7499,114,1794,,7,,,,,1,,,,gc5,2006-09-21 10:24,,,0,0,0,,,,,0
7520,du6,1,20,7499,114,1807,,7,,,,,1,,,,du6,2006-09-21 10:24,,,0,0,0,,,,,0
7521,bb4,1,20,7504,115,1804,,7,,,,,1,,,,bb4,2006-09-21 10:24,,,0,0,0,,,,,0
7522,dj8,1,20,7499,114,1799,,7,,,,,1,,,,dj8,2006-09-21 10:24,,,0,0,0,,,,,0
7523,er4,1,20,7504,115,1786,,7,,,,,1,,,,er4,2006-09-21 10:27,,,0,0,0,,,,,0
7524,ga3,1,20,7504,115,1810,,7,,,,,1,,,,ga3,2006-09-21 10:29,,,0,0,0,,,,,0
7525,bf0,1,20,7499,114,1789,,7,,,,,1,,,,bf0,2006-09-21 10:32,,,0,0,0,,,,,0
7526,bt2,1,20,7499,114,1790,,7,,,,,1,,,,bt2,2006-09-21 10:34,,,0,0,0,,,,,0
7527,di1,1,20,7498,96,1821,,1,,,,,1,,,,di1,2006-09-21 10:35,,,0,0,0,,,,,0
7528,dj6,1,20,7498,96,1826,,1,,,,,1,,,,dj6,2006-09-21 10:36,,,0,0,0,,,,,0
7529,cp3,1,20,7498,96,1823,,1,,,,,1,,,,cp3,2006-09-21 10:36,,,0,0,0,,,,,0
7530,db9,1,20,7498,96,1815,,1,,,,,1,,,,db9,2006-09-21 10:36,,,0,0,0,,,,,0
7531,eq7,1,20,7498,96,1822,,1,,,,,1,,,,eq7,2006-09-21 10:37,,,0,0,0,,,,,0
7532,cb3,1,20,7498,96,1819,,1,,,,,1,,,,cb3,2006-09-21 10:37,,,0,0,0,,,,,0
7533,fv7,1,20,7498,96,1816,,1,,,,,1,,,,fv7,2006-09-21 10:38,,,0,0,0,,,,,0
7534,eq7,1,20,7498,96,1822,,1,,,,,2,,,,eq7,2006-09-21 10:38,,,0,0,0,,,,,0
7535,dj6,1,20,7498,96,1826,,1,,,,,2,,,,dj6,2006-09-21 10:38,,,0,0,0,,,,,0
7536,gn4,1,20,7498,96,1831,,1,,,,,1,,,,gn4,2006-09-21 10:38,,,0,0,0,,,,,0
7537,az5,1,20,7498,96,1827,,1,,,,,1,,,,az5,2006-09-21 10:39,,,0,0,0,,,,,0
7538,fp9,1,20,7498,96,1830,,1,,,,,1,,,,fp9,2006-09-21 10:39,,,0,0,0,,,,,0
7539,gm7,1,20,7498,96,1829,,1,,,,,1,,,,gm7,2006-09-21 10:39,,,0,0,0,,,,,0
7540,fp9,1,20,7498,96,1830,,1,,,,,2,,,,fp9,2006-09-21 10:39,,,0,0,0,,,,,0
7541,fp9,1,20,7498,96,1830,,1,,,,,3,,,,fp9,2006-09-21 10:41,,,0,0,0,,,,,0
7542,gn4,1,20,7498,96,1831,,1,,,,,2,,,,gn4,2006-09-21 10:41,,,0,0,0,,,,,0
7543,fm1,1,20,7498,96,1814,,1,,,,,1,,,,fm1,2006-09-21 10:41,,,0,0,0,,,,,0
7544,cb8,1,20,7498,96,1813,,1,,,,,1,,,,cb8,2006-09-21 10:42,,,0,0,0,,,,,0
7545,ca5,1,20,7498,96,1818,,1,,,,,1,,,,ca5,2006-09-21 10:42,,,0,0,0,,,,,0
7546,cp3,1,20,7498,96,1823,,1,,,,,2,,,,cp3,2006-09-21 10:43,,,0,0,0,,,,,0
7547,bo8,1,20,7499,114,1834,,7,,,,,2,,,,bo8,2006-09-21 10:46,,,0,0,0,,,,,0
7548,ah7,1,19,0,101,1838,,8,1,2006-09-21 23:59,2006-09-21 10:45,Please explain how to make one of your favorite dishes.  Make sure you use the imperative in your instructions.,1,,,,,2006-09-21 10:55,,,0,0,0,,,,,1
7549,ah7,1,19,0,113,1843,,8,1,2006-09-21 23:59,2006-09-21 11:00,Recipe Instructions,1,,,,,2006-09-21 11:04,,,0,0,0,,,,,0
7550,ea3,1,20,7497,116,1870,,7,,,,,1,,,,ea3,2006-09-21 11:31,,,0,0,0,,,,,0
7551,gn7,1,20,7549,113,1867,,8,,,,,1,,,,gn7,2006-09-21 11:31,,,0,0,0,,,,,0
7552,av8,1,20,7549,113,1857,,8,,,,,1,,,,av8,2006-09-21 11:31,,,0,0,0,,,,,0
